,1111,1049,1345,1274,1339,1325,1664,1403,1602,1691,1662,1388,1676,1711,1670,1713,2406,2364,1042,2426,1768,1007,1716,1729,2275
phonetic_inv,,"[[], ['ʣ']]",,"[['t̚'], ['t˺']]",,"[[], ['ʤ̥']]","[['t̚'], ['t˺', 'nː']]",,"[['t̚', 'dð', 'ʦ̪'], ['t˺', 'd̪', 'ð̥', 'ʣ̪', 'l']]",,"[['t̚'], ['t˺']]",,"[['p̚'], ['p˺']]","[[], ['f', 'jᵊ']]","[['ʣ̪'], ['dᵊ']]","[['b̥', 't̚'], ['t˺']]","[['ð', 'ʧ', 'ɬᵖ'], ['ˡ̵̾p']]","[['t̚'], ['t˺']]",,"[['t̚'], ['t˺', 'd̥', 'nᵗ', 'ɾ', 'ɹᵗ']]",,,,"[[], ['t̚', 'ʔ', 'ɾ']]",
phonemic_inv,,,"[['ɾ'], []]",,,"[[], ['wʴ']]",,"[[], ['ʤ']]","[['t̚'], ['b̥', 't˺', 'ʤ']]","[[], ['p', 'z']]","[[], ['t˺', 'm', 'h', 'ɹ']]",,"[[], ['k', 'w']]","[[], ['ɡ']]","[[], ['p', 'b', 'ʦ̪']]","[['b̥', 't̚'], ['t˺', 'd̥', 'z̥', 'ʃ']]","[[], ['ʔ', 'ʦ']]","[['t̚', 'v'], ['t˺', 'd̥', 's̪', 's', 'ʦ̪', 'ʣ̪', 'ʧ', 'ʤ', 'ɾ', 'j']]","[[], ['b̥', 'ʣ']]","[[], ['d̥', 'wʴ']]",,"[[], ['bʴ', 'wʴ']]","[[], ['ʦ', 'w']]","[[], ['t̚']]","[[], ['tʰ']]"
cluster_inv,,"[['ʔj'], ['No treatment targets found after Step One']]","[['none'], ['TARGETS AFTER Step One: ']]","[['none'], ['TARGETS AFTER Step One: ']]",,"[[], ['bᵊw', 'dᵊw']]","[['none'], ['No treatment targets found after Step One']]","[[], ['fw', 'sw', 'bw', 'dwʴ']]","[['kj'], ['θw', 'ɡw', 'dw']]",,"[[], ['fw']]",,"[['TARGETS AFTER Step One:'], ['TARGETS AFTER Step One: ']]","[['none'], ['No treatment targets found after Step One']]","[['tw', 'dw', 'θn'], ['dᵊw', 'dð', 'tθ']]","[['TARGETS AFTER Step One:'], ['TARGETS AFTER Step One: ']]",,,,"[['none'], ['TARGETS AFTER Step One: ']]","[['kj'], ['ʃn', 'fw', 'bw', 'ɡw', 'dw']]",,"[['none'], ['No treatment targets found after Step One']]","[['kj'], ['ɡw']]",
out_phones,,,,,,,"[[], ['v']]",,"[['l'], []]",,,,,"[['f'], []]",,,"[[], ['ð', 'ʧ']]",,,,,"[['mʴ', 'n̚', 'b̚'], []]",,"[[], ['ʧ', 'ʤ']]",
out_phonemes,,,,,,,,,"[['ʤ'], []]","[['p', 'z'], []]","[['m', 'h'], []]",,"[['k', 'w'], []]","[['ɡ'], []]","[['b'], []]","[['ʃ'], ['v']]",,"[['s', 'ʧ', 'ʤ', 'j'], ['v']]",,"[[], ['ð']]",,"[['wʴ', 'bʴ', 'mʴ', 'n̚', 'b̚', 't̚'], []]","[['w', 'ʦ'], ['ð']]",,
out_clusters,,,,,,,,"[['sw'], []]","[[], ['kj']]",,,,,,"[[], ['kj']]",,,,,,"[[], ['kj']]","[['fw', 'vl'], []]",,"[[], ['kj', 'skɹ']]",
targets,,"[['none after step 1', 'after step 2'], ['fɹ', 'ʃɹ', 'fl']]",,,"[['spr', 'str', 'skr'], ['skɹ', 'stɹ', 'spɹ']]",,"[['none after step 1', 'after step 2'], []]",,,"[[], ['spl']]","[[], ['spɹ', 'skɹ', 'stɹ']]",,"[[], ['skw']]","[['none after step 1', 'tarɡets after step 2', 'sm', 'sn'], ['fɹ', 'θɹ', 'ʃɹ', 'fl']]","[['skw'], ['fɹ', 'θɹ', 'ʃɹ', 'fl']]",,,"[['none after step 1', 'ʃɹ after step 2'], ['fɹ', 'θɹ', 'ʃɹ']]",,,"[['none selected after step 1'], ['ɹ', 'ð', 'θ', 'ʒ']]",,"[['none after step 1', 'tarɡets after step 2'], []]",,"[['none after step 1', 'none after step 2', 'sinɡleton l after step 3'], ['l', 's', 'z', 'ð', 'θ', 'ʃ', 'ʤ', 'ʒ']]"
